0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:40:48 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:40:48 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:40:48 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:40:48 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:52:28 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9062
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:52:28 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:52:29 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:52:29 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:52:29 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:52:29 +0530] "GET /FantezyFrontendProject/%3Ciframe%20width= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:53:09 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8997
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:53:09 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:53:09 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:53:10 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:56:38 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9170
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:56:38 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:56:38 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:56:38 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:58:09 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9255
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:58:09 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:58:09 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:58:09 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:59:21 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:59:21 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:59:21 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:59:21 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:38 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9102
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:38 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:38 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:38 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:38 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:06 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9647
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:06 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:06 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:06 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:06 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:41 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9647
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:41 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:41 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:41 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:41 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:19 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9656
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:19 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:19 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:19 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:19 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:46 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9674
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:46 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:46 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:46 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:05:47 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:25 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9693
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:25 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:25 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:25 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:25 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:27 +0530] "GET /FantezyFrontendProject/Products HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:31 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9693
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:31 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:31 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:32 +0530] "GET /FantezyFrontendProject/Products HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:36 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9693
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:36 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:36 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:39 +0530] "GET /FantezyFrontendProject/Products HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:43 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 9693
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:43 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:43 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:45 +0530] "GET /FantezyFrontendProject/Products HTTP/1.1" 404 992
